,sentences,labels
10,"['В скільки і як ви привчили діток спати окремо, особливо засинати самому'
 'Вопрос по новогоднему костюму рукодельницам'
 'В кого малі діти двомовні?' ...
 'Сьогодні кастрували свого котика і виявилось...'
 'Кіт може бути тільки вуличним? Як так привчити змалку?'
 'Кіт самовигулі?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Домашние животные'
 'Семья, Дом, Дети > Домашние животные'
 'Семья, Дом, Дети > Домашние животные']"
11,"['Ви б справляли день народження вашої дитини якій виповнився 1 рік?'
 'Приют для детей под Киевом - Ковчег, Батьківська турбота отзывы'
 'У ваших дітей хороша пам‘ять? Старша школа' ...
 'Ледь відійшла від грому'
 'Хто провів літо поглядом - у Вас є відчуття пригніченості?'
 'Складнощі в житті роблять людину']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Психология'
 'Здоровье и Красота > Психология' 'Здоровье и Красота > Психология']"
12,"['Симбітер' 'Що можна подарувати племіннику на 7років'
 'Вчи юа - а я якшо діти 7,9 років як грати в цю гру? Треба кожномк купувати акаун'
 ...
 'Чи можна вагітним їздити на велосипеді? Ризик при їзді на велосипеді під час ваг'
 'Терміново потрібен педіатр. Київ'
 'Где профессиональней врачи в Институте єндокринологии или в киевском центре']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота  > Врачи'
 'Здоровье и Красота  > Врачи' 'Здоровье и Красота  > Врачи']"
13,"['Лікувати чи чекати' 'Дівчата, порадьте заспокійливі каплі для дитини'
 'Порадьте машинки хлопчику 2 р, щоб гратися на морі, пісочку. Виробник'
 ... 'Дівчата, тату - це боляче ?'
 'Брови вискубувати, підмальовувати обов*язково?'
 'Як круто змінили образ жінки']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Стиль, Мода, Бренды > Имидж'
 'Стиль, Мода, Бренды > Имидж' 'Стиль, Мода, Бренды > Имидж']"
14,"['Підскажіть фахівця з УЗД' 'Як нараховуються аліменти?'
 'Ваші неприємні спогади з дитинства?' ...
 'Дівчата, а давайте зберемось думками в назначений час і будемо'
 'Продовжіть речення' 'Порадьте фільм жахів']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Досуг, Развлечения > Непознанное'
 'Досуг, Развлечения > Непознанное' 'Досуг, Развлечения > Непознанное']"
15,"['Як реагувати коли дитину б’ють інші'
 'шукаю костюм ЕЛЬФА. розмір  - 90-92 замучилась шукати'
 'Яку іграшку можна купити, щоб багато співала українською мовою?' ...
 'Діти виросли, будинок нам завеликий. Накидайте ідей, що з ним робити, а?'
 'В шоці - взрив тарілки в шафі'
 'Книга Самостійні роботи по математике 4 класс Росток Пушкарева']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Домашние хлопоты '
 'Семья, Дом, Дети > Домашние хлопоты '
 'Семья, Дом, Дети > Домашние хлопоты ']"
16,"['Мамочки порадьте, як швидко вилікувати насморк 1,6 року'
 'Дівчата,привіт, почала збирати  дитину (хлопчика) в перший клас все ПАНІКА!!!'
 'Силіконовий гризунець матеріали' ...
 'Якщо є кредит можливий виїзд за кордон?'
 'Чи можна десь в наших банках обміняти болгарські леви'
 'Як можна покласти гроші у злотих у Польщі на картку українського банку?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Бизнес, Финансы > Банк'
 'Бизнес, Финансы > Банк' 'Бизнес, Финансы > Банк']"
17,"['Дуже інтимне запитання,потрібна допомога'
 'А в мене синочка все має до школи' 'шукаю пісеньку для дошкільнят' ...
 'Спецоперації за лінією фронту, штурми та контакті бої – війна поета та бійця ССО'
 'Хто знає, що це за фільм?' 'Хто насправді підманув Галю?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Общество, Политика, СМИ > Культура'
 'Общество, Политика, СМИ > Культура' 'Общество, Политика, СМИ > Культура']"
18,"['Где найти ""Оповідання про справедливість або мужність""'
 'Девочки выручайте. Яке оповідання Іван Франко написав про своє дитинсво?'
 'Вибори і школа.' ... 'Підкажіть, якого бренду сукня. Будь -ласка))))'
 'Як вам блогерша Дар´я Удалова?' 'Ольга Горбачова хвора? Чи що з нею?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Стиль, Мода, Бренды > Знаменитости'
 'Стиль, Мода, Бренды > Знаменитости' 'Стиль, Мода, Бренды > Знаменитости']"
19,"['ВПО зміна місця проживання в дії' 'Бесіда з дітьми. Допоможіть!'
 'Що робити, якщо лікарі загубили медичну картку дитини?' ...
 'Сезон зелених помідор'
 '1 раз засолювала огірки, поклала невеличкий кусок коріння хрону'
 'Малиновий джем! Будь ласка, дайте пораду!']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Еда, Кулинария > Консервация'
 'Еда, Кулинария > Консервация' 'Еда, Кулинария > Консервация']"
