,sentences,labels
10,"['Дівчата.Уроки.Якій висновок треба тут написати?\nЭто 3 задания, 4 не заскринилось. Под 4 пунктом написано «висновок». что там писать нужно?'
 'Знову про шкільну форму, в чому ваша дитина підe в школу\nВибачтe, тeма піднімалася вжe нe раз, алe я так і нe розумію, купувати шкільну форму, оновлювати гардeроб дитини чи ні？Якщо купувати новe, то вжe зараз би хотілося, в сeрпні дитина будe в іншому місті. У нас звичайна школа,  під шкільною формою розумію тeмний низ, світлий вeрх, чорні, сині, сірі рeчи, нічого яскравого, ніяких паєток і т.п. Мeні подобалось, як у нас було, і для дитини різноманіття - в школу в одних рeчах, у двір в інших, на прогулянку, гуртки - щe в інших, ну а дома звичайно в інших） Алe напeвно прикро Ій будe, коли всі поприходять наприклад в рожeвих кофтинках, а вона в чорному. Вчитeлька в вайбeрі мовчить, в чому приходити дітям нe знає.Чи кажуть щось у вашій школі？ Які рeчі ви готуєтe для дитини в школу？'
 'Чоловік морально добиває сина.  \nМаю сина та доньку.  Сину 11 років, дочці 7 років. Вже декілька років проживаємо в приватному будинку,  а тут справ постійно багато.  Донька помагає все,  що в її силах.  Сама,  її ніхто не примушує. А от син не виявляє особливого бажання щось робити.  За це чоловік постійно на нього корчить.  Не просто,  а як звір. Вчора він не захотів полити туї,  то чоловік матами кричав до нього.  Син розплакався і кудись втік. Я його шукала більше години.  До чоловіка нормально не доходить, що потрібно по іншому. І взагалі,  що діти різні, і це нормально.  Син займається професійно спортом,  здобуває перші місця на змаганнях,  вчиться посередньо, в кімнаті чисто,  якщо попросити,  то без проблем пропилососить, закине пмм, складе посуд.  Вчора була остання крапля.  Сказала,  що ще раз він відкриє свого рота до дитини,  то з речами піде на вихід.  Нажаль,  по іншому,  я не можу вирішити цю проблему.'
 ...
 'Який сухий корм їдять ваші котики? \nВ ветаптеці порадили Ройчер, але спочатку кошеня їло із задоволенням, а потім якось взагалі без охоти. Котик у нас тільки тиждень. Хто пробував цей корм давати? Який у вас? Дякую'
 'Відмовте від ши-тцу ))\nУ кого порода ши-тцу? Розкажіть недоліки, та проблеми, які можуть виникнути.'
 'Допоможіть, що робити з кицькою\nКицькі 10 років, завжди ходила лише в лоток (має 2),після зміни корму почався запор, ходила раз в 2 дні і перестала ходити на горщик. Як тільки помітила звернулась до ветеринара, робили УЗД і змінила корм. Зараз все норм, ходить раз в день, але не в горщик, або в інший куток ванної, або в коридорі. От що тепер робити, пісяє в горщик, а по великому ніяк, вже і лимоном ті місця натирала і корм ставила на те місце, так вона в інший куток сходила. Проконтролювати не можу, щоб направити її, вона вночі ходить, я до 2 ще витримую, а далі вже ні. Може в когось таке було, що можна зробити?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Домашние животные'
 'Семья, Дом, Дети > Домашние животные'
 'Семья, Дом, Дети > Домашние животные']"
11,"['1 класс ""На крилах успіху"" Кто учится? Как программа""\nЗнаю, что цена за год около 2,5тис. Как подан материал? Детям нравится? Много дом. заданий? Какрие сложности?'
 'Порадьте засіб для вмивання для підлітка\nХлопець, 10.5 років, почали з´являтися прищі на носі.'
 'Підтримайте, будь ласка\nСьогодні була свідком некоректної поведінки помічника вихователя (бачила у вікно, мене в цей час не бачили). Дуже вона кричала на дітей, смиконула чиюсь дитину так, що я думала, руку відірве йому. Дитина плакала дуже. Завтра зранку піду розмоляти з нею. Сьогодні я розгубилася. Мене трусить так, словами передати не можу. Поговоріть зі мною'
 ...
 'Пакунок малюка. Куди витратити гроші?\nДитині скоро рік, на карті залишилось 3тис. Не можу придумати, що толкове купити на ці гроші( Можливо не на зараз на пізніше. Підкажіть дівчата.'
 'Якого розміру взяти шкільний рюкзак для молодшої школи? 3й клас\nЯ взагалі не в темі, дитина навчалась онлайн. Мені здається, що там небагато зошитів і підручників....'
 'Манеж і розвиваючи іграшки на 6 місяців)\nДівчата,  шукаю манеж. Можливо порекомендує хтось свою модель. І цікаві і актуальні книжки,  іграшки,  на 6 місяців плюс. Що зайшло у ваших діток. Буду вдячна рекомендаціям.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Детские товары'
 'Семья, Дом, Дети > Детские товары' 'Семья, Дом, Дети > Детские товары']"
12,"['допоможіть зробити українську\nЯке закінчення в словах край,мрія,озеро,барвінок'
 'Тест на батьківство\nДівчатка, поділіться будь ласка інформацією, хто робив. Де робили, яка ціна, і скільки часу робиться? Дякую'
 'місячні\nВже 1,5 міс не годую грудьми а місячних немає. Це нормально? Не вагітна'
 ...
 'Дівчата з Рівного -терміново потрібна порада!\nДе у вас в місті добре роблять в\\в УЗД ?'
 'лікарі \nесть тут гастрологи'
 'Кардіолог\nПорадьте будь ласка хорошого кардіолога для дитини (2,6 роки), недавно педіатер послухала, та почула  шуми в серці. Зробили ЕКГ, а лікаря толокового знайти не можем.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота  > Врачи'
 'Здоровье и Красота  > Врачи' 'Здоровье и Красота  > Врачи']"
13,"['А ваші діти до року засинали самостійно?\nДивна річ: у віці до року я (за словами моєї мами) засинала самостійно, а мого сина потрібно гойдати-колисати. Як навчити дитину засипати самостійно? Метод Фербера на допомогу. Якщо малюк навчиться засинати самостійно, то прокинувшись через декілька годин (це є нормальним явищем, так дитина пересвідчується, що світ навколо не змінився), він не кликатиме маму своїм плачем, просто знову засне. http://www.dekret.in.ua/?p=2461'
 'Девочки, стал вопрос поступления в 5-й класс. Очень хочу в Наукову зміну\nПодскажите, кто поступал в прошлом году, как вы действовали? Буду благодарна за рекомендации'
 'В дитини низький гемоглобін і високе шое, що робити, хто з таким стикався?\nСьогодні отримали аналізи крові, хлопчик сім років. Гемоглобін-100, ШОЕ-30. Еритроцити, лейкоцити в нормі. Ніхто з педіатрів, так і не пояснив, чому такий високий рівень шое. Можливо в когось таке було? І ще як підняти гемоглобін дитині?'
 ...
 'Плаття Кейт Міддлтон\nМоже хтось зустрічав на сайтах це плаття в повний ріст?'
 'Як гадаєте, що старить жінку?\nфото'
 'Міратон - китайщина?\nЗайшла сьогодні роздивитись взуття... Ціна на короткі 5 тис, зимові, на вигляд і дотик ну ніяк на такі гроші не тягнуть. І взагалі якісь як пластикові, немає в них ніякої цікавинки, хоча написано що шкіра...Сумки в Міратоні ніби є симпатичні, також багато по знижкам гаманців, косметичок нібито зі шкірі тощо, але після того як розчарувалась у взутті, сумки і дивитись не стала. Тим більше там ціни - маленька жіноча шкіряна на короткому ремінці 2 300 грн.Поруч ще Обнова люкс, так там стільки на вигляд якогось самодєлу. Куртка 8 тис грн зимова, а у неї той синтепон на плечах в тих місцях, якими куртка висить на плічках, геть спався. І тримаєш у руках пуховик, в якого на плечах на дотик утеплювача зовсім немає, тільки дві смужки тканини...До речі в Міратоні купа засобів для обличчя й тіла, різноманітних, так там бальзам для волосся 165 грн, я в Ашані в цей же день купила такий за 102.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Стиль, Мода, Бренды > Имидж'
 'Стиль, Мода, Бренды > Имидж' 'Стиль, Мода, Бренды > Имидж']"
14,"['Чим краще від сопельок закапати носа дитині до року?\nфото'
 'Навчання в селі поряд збатьками чи ліцей/школа інтернатного типу? Порадьте!\nПроживаємо у сільській місцевості, вважаю, що діти в мене, щонайменше не дурні, докладаємо з чоловіком зусиль щодо їх розвитку. у школі є як прекрасні професіонали, але й ""лежачі камні"". я вся у сумнівах - хочеться, щоб діти добре здали ЗНО ,можливо побачили трішки інші висоти освіти, підходи до навчання, інших людей, але у нашій школі це неможливо((( Є знайомі, які відправляли дітей в ліцей-інтернат, відгуки за навчання наче у них непогані, а ось в інтернеті знайшла море бруду на педагогів та умови проживання дітей, та й знайомі не приховують, що передають домашню їжу додатково...До того ж боюсь, що дітей почнуть виховувати чужі тьоті і дяді + неконтрольована або слабоконтрольована ватага підлітків без батьківського впливу(((Я у розпачі -можливо, хтось опинявся у такій ситуації і знайшов вихід, не відсилаючи дітей кудись  -поділіться, прошу вас! або якщо ви віддали в ліцей такого типу -порадьте також щось. Діти виховані, але старша тонкосльоза, дуже чутлива до критики, я б сказала ""комплекс відмінниці""((одразу кажу -домашня освіта такого рівня -не варіант. я не такий професіонал...'
 'у кого в дітей був епштейна-барр - зайдіть\nМамочки, у моєї дитини, якій 2 роки, виявили вірус Епштейна-барр. Дитину нічого не турбує, лише температура 37""2-37""4:igg = 10, позитивний при більше 1. igm = 3, позитивний при більше 1. В мене 2 питання:1) В лабораторії ще залишилась сировотка крові, і можна здати аналізи, не колячи вену дитині. Підкажіть, що потрібно? До інфекціоніста ми потрапимо аж через 10 днів. Я думаю, можливо біохімію..?2) чи дійсно при епштейна-барр не можна відвідувати колективи, медвідвід від прививок? І не можна їхати на море? це ж дивно, 80% населення ним заражені, і що всі на пів року не відвідували людних місць? і у мене антитіла до цього вірусу, а коли хворіла - ніхто не знав.'
 ...
 'Із страшненького\nЛежу в реанімації, в рішила сфотографувати монітор позаду, щоб побачити показники.Показників не видно, зате поруч у вікні явно дві людини.Як тепер тут спати?'
 'Програма для сканування книг, мобільний додаток\nТреба оцифрувати /відсканувати підручники, хтось може знає зручний додаток з плеймаркета? Безкоштовну або дешеву...'
 'Шановні астрологи підкажіть будь ласка \nЧи захоче чоловік з Венерою в Деві, а Луною в Стрільці щоб його дружина не працювала, а була домогосподаркою?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Досуг, Развлечения > Непознанное'
 'Досуг, Развлечения > Непознанное' 'Досуг, Развлечения > Непознанное']"
15,"['розвиток дитини і релакс мами\nМамочки, в кого нема допомоги зовні і від чоловіка, підкажіть.Скільки часу виділяєте на дитину: розвиток, гра, прогулянки.Скільки часу на приготування їжі і прибирання (дитина може робити з Вами, але зрозуміло, що це не гра чи розвиток).Скільки дозволяєте собі релакснути (коли дитина бавиться сама - щось читати, дивитись і т.п.).Моїй дитині 2 роки. Я гуляю не багато. Зараз годинку. Включаю мульти під час їжу (стараюсь не включати, але часом і хвилин 30 під час їжі мульт грає, поки я їм, і так 3 рази в день).Можу, коли ліплю з дочкою, в телефоні дивитись серіал.В обідній сон дитини і коли прокидаюсь вранці раніше - ніколи нічого не роблю по дому, це час лише на мене: серіали, книги, англійська.......як у Вас?'
 'Школи Києва йдуть на карантин на два тижні, – КМДА \nПерший заступник голови КМДА Микола Поворозник розповів, що у школах Києва на два тижні запроваджують карантин. Все через погіршенні ситуації з коронавірусом в регіоні.Про це чиновник заявив в ефірі одного з телеканалів. За його словами, рішення вступає в силу з 23 жовтня. Тобто йдеться про наступні два тижні.Очевидно, що карантин триватиме до 8 листопада. Наразі детальної інформації немає. Проте відомо, що з 25 жовтня у київських школярів розпочнуться тижневі осінні канікули.Наразі точно невідомо, як діти навчатимуться з 1 листопада. Якщо завпровадять карантин – то навчання, ймовірно, буде дистанційним.https://education.24tv.ua/shkoli-kiyeva-ydut-karantin-dva-tizhni-kmda-novini-novini-kiyiv_n1776301https://education.24tv.ua/shkoli-kiyeva-ydut-karantin-dva-tizhni-kmda-novini-novini-kiyiv_n1776301'
 'Смачняшки для дитини 1 рік\nМаю хорошу подружку, зустрічаємося раз на 3 роки, бо живемо на різних кінцях країни. В суботу отримала від неї посилку для своїх синочка з речами. Дуже здивована, бо не очікувала. Хочеться зробити помилку у відповідь, що можна купити смачненького дівчинці 1 рік. Мої старший вже великий, а я забула, що в тонкому віці давала. Може якісь желейки чи щось інше???? Поможіть. Що ви даєте своїм діткам такого віку???'
 ...
 'як позбуваєтесь плям на одязі від антипреспірантів?\nзмушена користуватись цими засобами,а вони й до того ж плями залишають.'
 'Чим відбілити синтетику?\nПосіріли білі синтетичні вставки на кольоровому дитячому платті. Чим і як відбілити, щоб був ефект? Кому вдалось, відгукніться, будь ласка.'
 'Дівчата допоможіть знайти телефон\nНе раз читала, як дівчата знаходили речі з вашою допомогою. У нас пропав телефон дитини. Десь у домі 100%. Був похорон свекра, я була дуже зайнята, пам´ятаю мала сказала, що десь упав і вона не може дістати. Я вже весь будинок переклала всі меблі відсунула. Тел розрядився, подзвонити не можу']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Домашние хлопоты '
 'Семья, Дом, Дети > Домашние хлопоты '
 'Семья, Дом, Дети > Домашние хлопоты ']"
16,"['Дівчата. Розсудіть.. садочок \nВ садочку є БЛАГОДІЙНИЙ ВНЕСОК кожний місяць. Але його треба ОБОВ´ЯЗКОВО здавати. Моя дитина ходила у вересні тиждень (внесок здала), далі жовтень , листопад ходила по 3дня, бо дуже хворіла ще від вересня, тому що завжди хтось кашляв в групі, або вихователька з лорингітом ходила. Був конфлікт з цього приводу.. Я гроші відповідно не здала. В грудні взагалі не ходила, на святі не була, в січні не була. (Хворіла) А гроші то вимагають за всі місяці, типу що яка різниця, що ви не ходите.  Я здавати принципово не хочу, дістала вже ця корупція. Як би ви на моєму місці поступили?П.с.  садочок в районі не один'
 'Як бути? Прошу вашого погляду зі сторони і поради! \nУже крик душі. Така ситуація з якої ми не можемо вибратись ніяк! Уже неділю живемо з дітьми у батьків. До цього жили у свекрухи. Жити разом з нею ми не можемо, просто уже не витримуємо(не хочу розвивати цю тему) знайшли квартиру, але є багато ""але"" для того щоб її орендувати потрібний додатковий заробіток. У чоловіка зп не дає нам такої можливості, потрібно мені працювати. Планували щоб брат допомогав ( 20 років)  двоє дітей меншому майже 2 старшому 10. Я уже домовилась про співбесіду, і договір оренди повинні були уже підписати сьогодні. Вчора з батьками думали як бути, щоб малі ще неділю побули у них, а потім забирати на неділю, і так поки брат не привикне і вже зможе нормально дивитись за сином. Уже вранці збирались їхати з чоловіком він на роботу, а я на квартиру потім на співбесіду, але знов взяли сумніви, і мама почала казати, як воно буде, чи ми не пожаліємо, дитина мала. І я просто в ступорі, уже не знаю як бути, чоловік поїхав на роботу, у мене є час подумати до вечора. А у мене така каша в голові, що я уже просто вирішити не можу. Розумію що вибору не має і страх скажений просто. Якби батьки жили в місті то ще пів біди а так то далеко від міста. Ця неділя один якийсь жах, на нервах не їм і сплю по 3 години. Допоможіть порадою, бо я вже не знаю як мені бути'
 'Старша група в дит. садку як святкуєте випускний?\nУ нас хочуть святковий раном, а потім для дітей замовити виступ з мильними бульбашками+слодкий стіл. А у вас?'
 ...
 'ЕСВ и налог выгоднее моно или приват\nДевочки, нужно за мужа сегодня заплатить - какой картой выгоднее? Спасибки'
 'Переказ коштів з карти на карту\nЄ у мене карти в декількох банків. На одну з них надходить зарплата, але інколи потрібно зробити оплату з карти іншого банку. Так от, якщо я просто переводжу гроші з карти на карту присутня комісія. А якщо переводжу через реквізити карти, то комісія відсутня. Питання, а чи взагалі так нормально переводити кошти і не буде це виглядати як зарахування по якійсь професійній діяльності, наче дохід?'
 'Фінансовий моніторінг(опа\nПрийшло повідомлення з банку(надати документи .звідки кошти.поклала кошти на карту Продала авто перекупам по генеральній.не має жодного документа,є лише що моє авто не обтяжене)Карта заблокована…що робити.звернулась у відділення/настоюють надати доки.от де їх братиУгода була до війни.Колективний мозок🙏благаюЯк?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Бизнес, Финансы > Банк'
 'Бизнес, Финансы > Банк' 'Бизнес, Финансы > Банк']"
17,"['аутизм, немає сили\nМамочки, я вже втомилася чи затягнулася, постійнно в пошуках інформації, прикладів заннять, просто немає сил займатися з сином,зникає все бажання, все роблю через силу, але розумію, що якщо не я то хто тоді.....просто у нас немає жодного спеціаліста....((((( кожен вихід на прогулянку це ПИТКА, малий на вулиці чи в гостях начинає стимулювати, переключити не виходить, дома менше він так робить. як ви прибавляєте собі натхнення, сили для заннять????'
 'Мій поспішайка\nМій хлопчик нородився в 2012, коли ще тільки почали відкривати перенатальні центри.Моє сонечко народилося на 25 тижні вагітності з вагою 910гр.Діанозів було багато:ВЖК 3 (ГИДРОЦЕФАЛИЯ),РЕТИНОПАТИЯ 2-3СТ,КОМА 3,СЕПСИС,НЭК 1 ,ПОРОК РАЗВИТИЯ ГОЛОВНОГО МОЗГА ПО ТИПУ ШИЗЭНЦЕФАЛИЯ И ЛИСЕНЦЭФАЛИЯ.6 місяці в реанимації.Зараз Максимчику 7 років і він звичайна дитинка як всі дітки .Я хочу підтримати матусь ,хто зараз молится за своїх діток в реанімації .Вірьте ,материнська любов переможе всі діагнози!!!'
 'Як зробити уе завдання - фото 2 клас\nфото' ...
 'Кум говорит, что лет через 5 айтишную сферу ждут огромные сокращения персонала\nВ связи с активным развитием самообучающихся программ и искусственного интеллекта.  согласны ? что думаете?'
 'А якщо я завтра паску спечу?\nНіби ж не можна в пятницю.Блін, тепер знаю і мучусь через це. Вперше в житті хотіла спробувати.'
 'Хто бридиться не заходьте.\nЦе скріни відео з ліфта. Добре що у ліфті є камера, а то би всі подумали на собачок. Доречі, це жительниця цього самого елітного будинку, яка навіть не поприбирала оце після себе, і не брала слухавку від голови ОСББ. А через годину сиділа у дворі на лавочці жива і здорова ляси точила. От вам мудрість і поважний вік.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Общество, Политика, СМИ > Культура'
 'Общество, Политика, СМИ > Культура' 'Общество, Политика, СМИ > Культура']"
18,"['Дівчата,  а хто  купував бокс з  екзотичними  фруктами?\nДе брали  щоб  якісно  і не за купу коштів?'
 'Мамусі коли у ваш дім завітає Св.Миколай 6 чи 19?\nЯ у розгубленості усі по різному'
 'Пішли в садок. Перехворіли 1,5-2 тижні. Сьогодні знову соплі через 3 дні.\nЯ не вірю. Як таке може бути, що через 3 дні нова інфекція.'
 ... 'Хто це?\nфото'
 'Хтось чув таке?\nСказала моя свекруха, що Янукович помер. Не чули такого?'
 'Як вам актриса?\nфото']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Стиль, Мода, Бренды > Знаменитости'
 'Стиль, Мода, Бренды > Знаменитости' 'Стиль, Мода, Бренды > Знаменитости']"
19,"['Дитячий садочок. Які найголовніші критерії для вас?\nСтарший син ходив в садок в Україні. Дочка( 3 роки) має йти в Польщі.Різниця величезна. Важче віддати свою дитину в такі умови. Але все ж.Для вас наявність кращого ремонту і величини вікон в групі були важливі? Чи то я придираюсь, чи що.'
 'Яка мета у наших дітей? яка ціль? У них все є\nМи з чоловіком з бідних сімей, тому дітям даємо дуже багато. Багато у прямому сенсі. Я хвилююся що у них немає цілі.Я хвилююся що у них немає мотивації. Як вони можуть без цілі рухатися? Задумала після сліді дочки, що , яка різниця які у мене оцінки, ви ж мені всерівно купите все що я захочу ((( Я цю грань десь втратила'
 'В кого підлітки різної статі живуть в одній кімнаті\nЯк вони з цим фактом миряться? Ви збираєтеся якось міняти це? Чоловік не хоче йти на зйом(( живемо в 2ці свекрухи. Чоловік вважає дурістю йти на зйом щоб в дітей було по кімнаті. Каже і так виростуть. Не бачить проблеми. Я не можу з цим змиритися (( дітям не подобається. Але вони батьку нічого не кажуть знають що марно. В мене в наступному році буде своя 3к але в смт... Чоловік туди жити не поїде. Каже хочеш там жити , їдь але ні копійки не дам.. сама все тоді типу розлучення. Ну як так?! Чому чоловік не розуміє що це не забаганки, а необхідність!'
 ...
 'Хто консервував спаржеву квасолю. Смачно?\nМаю 10 кг спаржевої квасолі. Частину заморозю, а чи варто консервувати мариновану квасолю, по типу огірочків? Чи фігня буде?'
 'Як зробити компот з винограду на зиму\nДівчатка привіт. Е ось такий виноград. Кислюче.. Але ароматний. ДАЙТЕ будьласка рецепт шоб в 3 літрові баночки. Буду дуже вдячна'
 'Хто пробував таку тушонку?\nДівчата , хто пробував таку тушонку? Яка вона ? смачна? чи не варта уваги?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Еда, Кулинария > Консервация'
 'Еда, Кулинария > Консервация' 'Еда, Кулинария > Консервация']"
